
INFO_NOFUNDS				;Parece que no tenéis suficiente dinero para pagar esto
WAR_DECLARE_REQUESTJOINT_ACCEPT		;A petición vuestra, declaramos la guerra a los {0}
WAR_DECLARE_REQUESTJOINT_REJECT		;No declararemos la guerra a los {0}. ¡Librad vuestras propias guerras!

WAR_END					;Proponemos el fin de esta guerra sin sentido.\n\n¿Qué decís?
WAR_END_SUBJUGATIONDEMAND		;Aceptamos terminar esta guerra sólo si aceptáis ser esclavos y os sometéis a nuestro yugo.\n\nUn pequeño precio a pagar por salvar vuestras vidas, ¿no crees?
WAR_END_SUBJUGATIONOFFER		;Nos subyugaremos como esclavos de vuestro poderoso imperio si aceptáis poner fin a esta destructiva guerra contra nosotros.\n\nVuestros humildes esclavos esperan vuestra respuesta, ¿qué decís?
WAR_END_ACCEPT				;Estamos de acuerdo en que la guerra debe terminar - cesaremos las hostilidades
WAR_END_REJECT				;¡NO!, seguiremos luchando.

WAR_END_REQUESTOTHER			;Por favor parad vuestra guerra con los {0}
WAR_END_REQUESTOTHER_ACCEPT		;Como solicitasteis, terminaremos nuestra guerra con los {0}
WAR_END_REQUESTOTHER_REJECT		;¡No pararemos nuestra lucha contra los miserables {0}!

SUBJUGATIONDEMAND_ACCEPT		;Aceptamos la derrota y aceptamos vuestro estado como nuestro gobernante
SUBJUGATIONDEMAND_REJECT		;¡NO!, no accederemos a su escandalosa demanda de subyugación
SUBJUGATIONOFFER_ACCEPT			;Bien, aceptamos que reconozcáis vuestra derrota. Esperamos recibir nuestro tributo habitual de vuestra parte.\n\n¡Largaos, e intentad no ser tan alborotadores!
SUBJUGATIONOFFER_REJECT			;¡NO, debéis sufrir más antes de que la guerra acabe

SUBJUGATION_REQUESTRELEASE		;¡Nos irrita vuestro gobierno despótico! Os suplicamos que nos liberéis de nuestra esclavitud
SUBJUGATION_RELEASE			;Os liberamos de vuestra esclavitud. Usad la libertad sabiamente
SUBJUGATION_REFUSERELEASE		;¡NO, seguiréis siendo nuestros esclavos. Sois muy buenos esclavos, ¿no crees?

GIFT_GIVE				;Acepten este regalo de {0} créditos como muestra de buena voluntad.
GIFT_THANKS				;Gracias por vuestro amable regalo
GIFT_PROPOSE				;¿Qué tipo de regalo tenéis en mente?

WARNING						;¿Qué pasa?
WARNING_INTELLIGENCEMISSIONS			;¡Os avisamos de que pongáis fin a vuestras traidoras misiones secretas de inmediato!¡No toleraremos vuestra continua intromisión en nuestros asuntos!
WARNING_INTELLIGENCEMISSIONS_RESPONSE_FRIENDLY	;No conocemos ninguna misión en vuestra contra, amigo mío, pero investigaremos esta situación de inmediato.
WARNING_INTELLIGENCEMISSIONS_RESPONSE_NEUTRAL	;Tened la seguridad de que investigaremos este incidente
WARNING_INTELLIGENCEMISSIONS_RESPONSE_ANGRY	;¿Misiones secretas? ¿Qué misiones? Si las hubiera, sin duda no os hablaríamos de ellas. Pero de todos modos no hay misiones... ¡Así que dejad de ser tan paranoicos!
WARNING_ATTACKS					;¡Os advertimos oficialmente que ceséis todos los ataques militares contra nosotros!¡Si no paráis responderemos con una fuerza abrumadora!
WARNING_ATTACKS_RESPONSE_FRIENDLY		;Qué terrible, acepten nuestras sinceras disculpas por los mas que celosos actos de nuestros comandantes
WARNING_ATTACKS_RESPONSE_NEUTRAL		;Investigaremos este incidente y nos ocuparemos del comandante militar ofensor.
WARNING_ATTACKS_RESPONSE_ANGRY			;¿Ataques? No perderíamos nuestro tiempo en atacar un imperio tan patético como el vuestro.

WARNING_REMOVEFORCESSYSTEM					;No toleraremos la presencia de vuestras fuerzas en nuestro territorio.\n\n¡Quitad vuestras naves militares del sistema {0} de inmediato!
WARNING_REMOVEFORCESSYSTEM_RESPONSE_COMPLY	;No vemos necesario eliminar nuestras naves del sistema {0} 
WARNING_REMOVEFORCESSYSTEM_RESPONSE_REFUSE	;Acataremos vuestra solicitud. Nuestras naves abandonarán el sistema {0}
WARNING_REMOVEFORCESSYSTEM_RESPONSE_NOFORCESPRESENT	;¿Seguramente os equivocáis? No tenemos fuerzas militares en vuestro territorio.

HISTORY_OFFER_LOCATIONHINT		;Hemos descubierto la ubicación de objetos históricos importantes.\n\n¿Os gustaría saber más?
HISTORY_LOCATIONHINT			;Nuestras fuentes informan del {0}.\n\nAllí pueden encontrarse objetos importantes .
HISTORY_OFFER_STORYCLUE			;Hemos descubierto algo importante que creemos que deberíais ver por ustedes mismos.\n\n¿Tenemos toda vuestra atención?
HISTORY_OFFER_STORYMESSAGE		;Tenemos una avertencia importante que deberíais escuchar.\n\n¿Tenemos toda vuestra atención?



MININGRIGHTS_OFFER		;Nos complace ofreceros derechos mineros dentro de nuestras fronteras.\n\nYa pueden construir estaciones mineras en nuestro territorio.
MININGRIGHTS_CANCEL		;Sus derechos mineros en nuestro territorio han sido cancelados.\n\n¡Debéis eliminar todas vuestras estaciones mineras en nuestro territorio!
MILITARYREFUELING_OFFER		;Nos complace permitir a vuestras naves militares repostar en nuestras instalaciones.\n\nEsperamos que vuestras flotas encuentren útil esta medida.
MILITARYREFUELING_CANCEL		;Vuestros derechos de repostaje militar han sido cancelados.\n\nVuestras naves militares ya no pueden repostar en nuestras instalaciones.



CANCELPIRATEPROTECTION				;Ya no queremos vuestra "protección". Nuestro acuerdo queda cancelado.
CANCELPIRATEPROTECTIONPIRATE				;Ya no deseamos protegeros. Nuestro acuerdo de protección queda cancelado.
PIRATE_PROTECTIONPROPOSE_OFFER_ACCEPT		;Aceptamos vuestra oferta de protección. Aceptamos pagar {0} créditos al mes.
PIRATE_PROTECTIONPROPOSE_OFFER_REJECT		;Rechazamos vuestra oferta de "protección".

PIRATE_EXTORTPROTECTION		;¡Saludamos a nuestras víctimas! Quizas hayáis notado que estamos a nada de atacaros. Pero por el pequeño precio de {0} créditos al mes podríamos evitar esta violencia innecesaria.\n\nPor supuesto, deberíais haber pagado antes. Ahora que el ataque ya está en marcha, no nos queda más remedio que aumentar nuestros precios.\n\nEntonces, ¿estáis listos para pagar ahora?

PIRATE_TRUCEPROPOSE		;Es prudente que busquemos una tregua. Si aceptáis una tregua, podemos garantizar vuestra seguridad en nuestro dominio.
PIRATE_TRUCEPROPOSEINITIATE		;¿Quién sabe qué peligros ocultos os esperan cuando viajéis por las zonas sin ley del espacio distante?\n\nAl aceptar una tregua, podemos garantizar vuestra seguridad en nuestro dominio.\n\n¿que decís?
PIRATE_TRUCEACCEPTRESPONSE		;¡Excelente! Nos aseguraremos de que vuestras naves no sufran ningún "desafortunado accidente" mientras se mantenga la tregua...
PIRATE_TRUCEREJECTRESPONSE		;Como deseéis. Pero sin una tregua no podemos garantizar vuestra seguridad...
