
GREETING_INTRODUCTION			;Somos los {0}.\n\nNos gusta la vida tranquila. Y un buen juego de Todash.\n\n¿Que tal vosotros?
TREATY_ACCEPTRESPONSE			;¡Estoy tan emocionado! Los nuevos amigos significan una gran celebración.\n\nPor cierto: ¿jugáis al Todash?
TREATY_REJECTRESPONSE			;Hmm, esto no es lo que estabamos esperando escuchar.\n\nRealmente sabéis cómo acabar con la fiesta

TRADESANCTIONS_IMPOSE			;Sabéis que tenéis ahora: ¡Sanciones Comerciales!\n\nDe veras os lo habéis ganado. Ya hemos tenido suficientes puñaladas por la espalda
TRADESANCTIONS_IMPOSE_RESPONSE_ANGRY	;¡No podéis imaginar lo enfadados que estamos ahora mismo!\n\n¡Indescriptiblemente enfadados! ¡Furiosamente indignados! Incluso, bastante molestos
TRADESANCTIONS_IMPOSE_RESPONSE_NEUTRAL	;Eso es justo lo que esperábamos de vosotros.\n\n¡No os invitamos a más juegos de Todash ahora!
TRADESANCTIONS_IMPOSE_RESPONSE_SURPRISED	;Bueno, ¡relamente dais un poquito de trabajo! Imagina: ¡imponiéndonos Sanciones Comerciales a nosotros, vuestros amigos!\n\nNo volváis a hablar con nosotros
TRADESANCTIONS_LIFT			;Sanciones Comerciales acabadas.\n\nEn realidad, son bastante aburridas. Preferimos el comercio libre y abierto
TRADESANCTIONS_LIFT_RESPONSE		;Ahora tiene sentido un cambio.\n\nAgradecemos un retorno al comercio normal

WAR_DECLARE				;Habéis ido demasiado lejos esta vez: ¡GUERRA a vuestro flacucho imperio!\n\nHaremos que mendiguéis misericordia, y luego no os mostraremos ninguna!
WAR_DECLARE_RESPONSE_EAGER		;VENGA, GUERRA, YA! ¡Os enterraremos!
WAR_DECLARE_RESPONSE_NEUTRAL		;¡Qué mal genio!¡Qué mal! Este es el último error que ya nunca más cometeréis
WAR_DECLARE_RESPONSE_SURPRISED		;¡Seguro que no!\n\n¿Creíamos que éramos amigos? Parece que estabamos equivocados

WAR_END					;Al principio nos gustaba esta guerra, pero ahora ya no es divertida.\n\n¿La damos por terminada? ¿Qué dices?
WAR_END_ACCEPT				;Sí, ya es suficiente batalla.\n\nPodemos continuar más tarde si nos apetece
WAR_END_REJECT				;No, ¡esta guerra es demasiado divertida para parar!\n\n¿Seguro que no os habéis aburrido todavía?

GIFT_GIVE				;¡Tenemos un regalo para vosotros: {0} créditos!¿Os gusta?
GIFT_THANKS				;¡Guau! ¡Un regalo para nosotros! ¡Gracias!

WARNING_INTELLIGENCEMISSIONS		;Oye, sabemos de todas esas misiones secretas que estáis enviando contra nosotros.\n\n¡Y estamos bastante trastornados por ellas!\n\nAsí que retíralas ahora mismo, ¿ok?
WARNING_ATTACKS				;¡Detened los ataques a nuestras naves ahora mismo!\n\nNuestra paciencia se está agotando - ¡os estamos avisando!


WARNING						;¿Una advertencia? Nos preguntabamos ¿a qué se debería esto?
WARNING_INTELLIGENCEMISSIONS_RESPONSE_FRIENDLY	;Entendemos su preocupación.\n\nNos aseguraremos de que esto no suceda otra vez
WARNING_INTELLIGENCEMISSIONS_RESPONSE_NEUTRAL	;Antes de responder debemos chequear los detalles de este incidente.\n\nEstamos en contacto, ¿de acuerdo?
WARNING_INTELLIGENCEMISSIONS_RESPONSE_ANGRY	;Ahora que lo mencionáis: sí, mandamos esas misiones contra vosotros.\n\n¿Por qué? Porque en realidad os odiamos, de veras.\n\n¿Queda claro?
WARNING_ATTACKS_RESPONSE_FRIENDLY		;Qué tremendo. Por favor acepte nuestras disculpas.\n\nDenos los detalles del incidente y nos ocuparemos del capitán responsable.
WARNING_ATTACKS_RESPONSE_NEUTRAL		;Hmmm, nada bueno. Que te pesquen, claro.\n\nPor favor acepte nuestras disculpas
WARNING_ATTACKS_RESPONSE_ANGRY			;Recordamos haber ordenado algunos ataques recientemente.\n\nPero sólo le haríamos eso a nuestros enemigos. Entonces supongo que ¿eso significa que eres nuestro enemigo?
